InvoiceName,Text,Time(s)
3.jpg,"Facture N°:FUNPLACE -2023/000403 FUNART Date:14/04/2023 PLACE Client client:SMART CALLDISTRIBUTION ICE: 001685924000018 Prix Désignation Quantité Prix Total HT unitaire Atelier poterie 230.00 14 3,220.00 Une heure d'activitépoterie Notes/ Commentaires Montant HT 3,220.00 TVA 644.00 (20.00% Arrétée a Ia somme de TROIS MILLE HUIT CENT SOlXANTE-QUATRE DIRHAMS Total TTC 3,864.00 dh FUNPLACE 295,Angle BAhdetmonmen t RuPersee,e Etage NA6 Casablanca-R C: 392379 Fun Place 295,Angle Bd Abdelmoumen et rue Persée 1er étage-A6-Maarif 20100-Casablanca 20100 Maroc- +212660-380688/+212622-384880-IF:24999819-RC :392 379-CNSS:5792628-ICE: 002005684000080 
",3.4752087593078613
4.jpg,"ISTIRAHA STATION DISTRIBUTION CARBURAMT, LUBRIFIANT ET SERVICES OUTIDIS par 1a Coi`S5C CASABLANCA MAROC ICE : 003052404000075 maa FACTURE N°95345516 Date facture: 25.01.2023 Quantité facturée Montant HT Code produit Désignation 33,870 L 419,99 MAD 1127 Gasoil 10 ppm Taux TVA 10,00% Montant TTC (sauf erreur ou omission) Montant TVA 42,00 MAD 461,99 MAD PAYE PAR MONTANT ARRETE LA FACTURE A LA SOMME DE : ESPECE.....  QUATRE CENT SOIXANTE-ET-UN DIRHAMS 99 (TTC) CHEQUE N ....... TOTAL CACHET ET SIGNATURE DU CLIENT POUR RECEPTION CONFORME ISTIRAH STATIONSARL LE A osPetrom Bouskoyre KutaNouaoeur asahlanca/7:0522975492193 S.A.R.L.. Au Capital de 10.100.000.00 DHS ISTIRAHA 18,Souk Ejjaj,Place BIR ANZARANE -LAAYOUNE - Tél. 0528 89 05 89 STATION R.C.: 4783LAAYOUNE-1.F: 14449229-T.P:77303008-ICE:001687079000067 
",2.6901471614837646
9.jpg,"HDID CONSULTANTS TIDSI GAZ Zone Indusrielle D'Anza ( Cöté Mer) Agadir NF03995 Date:27/12/2022 ICE002345612000067 Nos honoraires pour services professionnels portant sur le dépöt des états de synthéses de I'exercice clos au 31/12/2021. Libellé Honoraires Débours Honoraires 3000,00 Frais et débours 50,00 Total HT: 3000,00 50,00 MAD Montant TVA 600,00] 0,00 MAD Total TTC: 3650,00MAD Arrétée la présente Facture a la somme de : Trois mille six cent cinguante dirhams toutes taxes comprises En votre aimable réglement par chéque barré non endossable au nom de notre société ou Virement bancaire au compte ouvert aupres de AWB agence CIL RIB N° 007780000048500000037893 HDID CONSULTANTS 4,Rue Maati JazouliEx Rue Friel) Anfa-Casablanca Ted 0522397851/52 S.A.R.l.Capital100.000Dhs ICE001633093000070 4.RueMaatiJazouliExRueFriolAnfa-Casalas RC:352257 Mall:contact@ndid.ima TP35624307 T212522397851/+212522397852 IF18785307 Fax212522397850 CNSS:4927523 
",2.960447072982788
27.jpg,"FACTURE BOXY DOM Adresse:10 Rue Chrarda Rdc Derb Loubila Bourgogne Société: OUTIDIS ICE:003052404000075 CASABLANCA facture :0011/22 Date : 22/08/2022 Quantité Désignation Prix unitaire HT Prix total HT 2 ARMOIRE INFORMATIQUE AR 6U 530X350 600.00 1200.00 1 SWITCHE RESEAUX 8 PORTS 10/1000MbPS 400.00 400.00 100ML CABLE RESEAUX KT6FTP 3.50 350.00 BLOCKD'ALIMENTATION POUR LES 1 280.00 CAMERA 12V/10A 280.00 1 Disque dur SATA 3000g 700.00 700.00 1 CAMERA DE SURVEILLANCE 5MP 270.00 270.00 40ML CABLE COAXlAL KX6 Avec Alimentation 3.00 120.00 DIVERS 846.67 846.67 Total HT 4166.67 T.V.A 20% 833.33 Total TTC 5000.00 SARL - Société a responsabilité limitée - Capital de 100 000 Dirhams - R.C: 448005-I.F : 39379238 I.C.E : 002351178000038 www.kafeo.com 
",3.6035685539245605
45.jpg,": Facture - annexe orange"" Détail par ligne N°de facture F-0423-1966500 Compte client : 10564756 FF ILLIMITE PRO NATIONAL Ligne :212660898202 Utilisateur de la ligne:SMART CALL DISTRIBUTION Détail de votre facture glall l Vos forfaits/abonnements et options Montant en DH Frais Mensuels FF ILLIMITE PRO NATIONAL (18/03/2023 - 17/04/2023) 165,83 Sous total 165,83 Montant HT 165,83 TVA (20%) 33,17 Montant ä payer 1p1F1815159 199,00 Points de fidélité accordés sur la ligne 18 Page 3/ MEDITELECOM,SA au Capital de 2.373.168.700 DH 3 Siege social : Lotissement la Colline I, Immeuble les Quatre Temps, Sidi M aarouf, Casablanca, 20270, RC 97815 - Patente 37 998 011 - IF 108 6826 - CNSS 6018924 - ICE 001524628000001 orange.ma 
",3.298363447189331
49.jpg,"Référence :  0026757005: Votre Direction Préfectorale CASA-ANFA Facture Eau N° 1507042573AM p xbillg cl 8gL 48, Rue Mohamed Diouri Date 30/03/2023 CASABLANCA contact@lydec.co.ma ICE: 001685924000018 www.lydec.ma Lydec lw Centre de relation clientéle 0522312020 P 202304 SMART CALL DISTRIBUTION 3 RUE ABDELKADER ELMAZINI ETG 1 APPT GH CASABLANCA Avis de facturation Eau et slal 3 y g&L yle&) assainissement 18/02/2023 au 22/03/2023 C9 1m9KF 1M3 Période de consommation Eau du Evolution de votre consommation pyal4 lll Consommation Montants en Dhs Eau et assainissement 14 m3 209,59 Jx aifl g s atl Taxes 14,69 Avr Mai Jui Jul AoaSepOct NovDécJan Fév Mar Avr Sous total TTC 224,28 22222222222222222223232323 Votre contrat Net ä payer 224,28 1171819 Mode de réglement Prélévement bancaire Prochain passage de votre encaisseur Votre option tarifaire Montant des impayés TTC ** 0,00 1P? o 1p6r19 q-Activité commerciale et pro  Sauf erreur ou omission 8ui gf Uas Isc Date limite de paiement 18/04/2023 s1sSU Jj Sj Passé ce délai, et en cas de non paiement, nos fournitures tc1sY1 pac aL sg Y11sa J x Votre compte bancaire SillSl Hajill caa osa pourront étre suspendues. ATTIJ780000629500000017864 ** Détail disponible au niveau de nos canaux Jaj 9sss La1 aaaialati 12a5o1yoglanini aogagg5!cL5glu lioi 1 !mrwP6os 1 !KzmB1FKim7 H R!sDloni Lydec SA-Sige Social48rue MohamedDiouri Casablanca-BP16048-Tel:0522549054ICE000230990000079052254905416048llj 48d Taxe professionnele 32400265-IF 01085706 -RC casa 80617- CNSS 6156964-Capital 800 00000 Dhs 90089098010-908969919000000008 
",5.213424205780029
52.jpg,"SOFAC SARL OUTIDIS 10 RUE LIBERTE ETG 3 APT 5 C/O CA AL HIBA 20000 CASABLANCA Facture du 03/01/2023 Affaire 91272650 Facture No L033107296 Date échéance 05/01/2023 Tiers contractant TE00920696 Rubrique Montant H.T Taxe Montant taxe Montant TTC MAD MAD MAD 2.283,33 20.00 456,67 Loyer 2.740,00 Dépt de garantie 134.260,00 0.00 0,00 134.260,00 Total 136.543,33 456,67 137.000,00 Taxe Montant H.T Montant taxe Montant TTC 20.00 2.283,33 456:67 2.740,00 0.00 134.260,00 0,00 134.260,00 6 Affaire Facture No  91272650  L033107296 Montant TTC Montant TVA Bd 137.000,00 MAD 456,67 MAD Société de Financement dAchat ä CréditS.A.au Capital de 193.200.000 de DH/57,Bd.AbdelmoumenCasablanca 20000/Maroc/Tél.:212) 522 429696Fax:212) 52242 9600 CCP.Rabat580.33/RC 29.095/CNSS:1720649/IF:01084026/ICE001524470000096/www.sofac.ma 
",3.185805320739746
57.jpg,"Page : 1/1 ARCANES TECHNOLOGIES FACTURE: 223285-23-DJ M. Driss Raissi Date: 04-01-2023 Lot. Charaf, n'41, 2eme étage 20190, Casablanca - Maroc Désignation Qté P.U Total Nom de Domaine: Abonnement Annuel Renouvellement du nom de domaine smartcall.ma 1 189.00 189.00 Montant total H.T 189.00 TVA 20% 37.80 Montant total T.T.C 226.80 Arretée la présente facture a la somme de deux cent vingt-six dirhams quatre-vingts centimes TTC ARCANES TECHNOYOGIES FACTURATION Technopark.Route Ge Nouacer.Angle R5114.et CT1029 NDrect0802002800 Bureau143bi,RDC,Casablanca-20153-Maro Tel.2120522491944LG-Fax212)0522491940 1,15 Dh TTC/min depuis un poste fixe 400.000.00 Email:infoss 
",3.0665512084960938
58.jpg,"NETTOOPAP PRODUITS DE NETTOYAGE ET D'HYGIENE SMART CALL DISTRIBUTION FACTURE N° 230058 Adresse 3. ANGLE ALFRED DE MUSSET ET ABDELKADER EL Date N° BC Page MAZINI - 1ER ET 4EME ETAGE -GAUTHIER 10/03/2023 1 7 1 ICE: 001685924000018 PU(ht) Tva Qté Mnt(ht) Reférence Désignation 80 14.60 90415005 PAPIER ZIG ZAG HYG Q23* 20 1168.00 80200000 PAPIER ESSUIE MAIN Q23* 12 36.67 20 440.04 90425004 50.00 20 50.00 5601856212330 PAPIER JUMBO HYG MO23* 72 12.00 20 864.00 NETTOPAP SARL Siege26,Av.Mers Sultan Appt.3 Etg.1-20000 Casa Té1:0522852425 La présente Facture est arrétée a la somme de : Total HT 2522.04 trois mille vingt six DHs 45 centimes Taxe 504.41 Total TTC 3 026.45 SARL ,Siege Social : 26 Avenue Mers Sultan Appt3 Etgl - 20000 - Casablanca Showroom : Rue 15 N° 49 Raid EL Ali - 20550 - Casablanca - ICE:002617817000028 = RC:479043 = Patente:34101567 - IF:47256755 - CNSS:2248625 Tel:0522 852425 - Email:netto.pap@gmail.com 
",4.722734689712524
61.jpg,"OBILIA Page N°: Facture N° :202212194 Outidis SARL Date Facture: 22/07/2022 CASA Tél : +212 688-618708 ICE:003052404000075 Code Article Désignation P.U.HTRemise Qté TVA Total HT BG-D05(180) TABLE DE REUNION EN BLANC 180*90CM PIEDS 2 990,00 0% 1 20.00 % 2 990,00 Total HT : 2 990,00 Total exonéré Total Taxable 20% Base HT : 0,00 2990,00 Total HT : 2 990,00 Montant TVA : 0,00 598,00 Total TVA: 598,00 Total TTC : 3 588,00 Arretée la présente facture a la somme TTC de : TROIS MILLE CINQ CENT QUATRE-VINGT-HUIT DHS md Solow contact@mobiliaoffice.ma-www.mobiliaoffice.ma-Tel.:0522221818-Gsm:0673268307 IF:01006523-RC:134679-PATENTE:35546144-CNSS:6989828-RIB:190780212114277932000175-ICE:000079757000058 
",2.448951482772827
